ID;ISBN-01;ISBN-13;TITLE;ADDED_DATE;DESCRIPTION;PUBLICATION_DATE;AVAILABILITY;AUTHOR_ID;CATEGORY_ID;PUBLISHER_ID;LIBRARY_ID;BOOK_COVER
228;09-1192-103-7;029-09-1192-103-7;Odrodzone Królestwo - Wojenna korona;2021-02-28;;2019;false;22;13;5;1;
229;29-6432-292-1;102-29-6432-292-1;Odrodzone Królestwo;2021-02-28;;2020;true;22;13;5;1;
230;61-6736-847-5;667-61-6736-847-5;Odrodzone Królestwo - Korona śniegu i krwi;2021-02-28;Ta książka z początku miała być sensacyjną opowieścią, która rozgrywa się na niezbyt uczęszczanym zakręcie historii. Mało znany król, trudny do ogarnięcia czas, zawieruchy rozbicia dzielnicowego.;2012;true;22;13;5;1;
231;12-1973-460-8;920-12-1973-460-8;Odrodzone Królestwo - Korona śniegu i krwi;2021-02-28;Ta książka z początku miała być sensacyjną opowieścią, która rozgrywa się na niezbyt uczęszczanym zakręcie historii. Mało znany król, trudny do ogarnięcia czas, zawieruchy rozbicia dzielnicowego.;2012;true;22;13;5;1;
232;12-2211-467-2;920-12-2211-467-2;Odrodzone Królestwo - Niewidzialna Korona;2021-02-27;Niewidzialna korona jest częścią cyklu Odrodzone Królestwo, ale jednocześnie to powieść odrębna. Kto nie czytał Korony śniegu i krwi, niech się nie lęka. Przygodę z Królestwem wychodzącym z klątwy Wielkiego Rozbicia można zacząć od dowolnego momentu. Niewidzialna jest samodzielną opowieścią.;2014;true;22;13;5;1;
233;13-2240-878-1;009-13-2240-878-1;Odrodzone Królestwo - Płomienna korona;2021-02-28;Można opowiedzieć historię Władysława Łokietka i odradzania się Królestwa tylko z jednego punktu widzenia, ale to przesłania nam całą złożoność procesu zjednoczeniowego;2017;true;22;13;5;1;
234;43-1192-103-7;029-43-1192-103-7;Odrodzone Królestwo - Wojenna korona;2021-02-28;;2019;true;22;13;5;1;
235;67-6436-292-1;102-67-6436-292-1;Odrodzone Królestwo;2021-02-28;;2020;false;22;13;5;1;
236;12-1973-766-8;920-12-1973-766-8;Odrodzone Królestwo - Korona śniegu i krwi;2021-02-28;Ta książka z początku miała być sensacyjną opowieścią, która rozgrywa się na niezbyt uczęszczanym zakręcie historii. Mało znany król, trudny do ogarnięcia czas, zawieruchy rozbicia dzielnicowego.;2012;true;22;13;5;1;
237;76-9872-467-2;920-76-9872-467-2;Odrodzone Królestwo - Niewidzialna Korona;2021-02-27;Niewidzialna korona jest częścią cyklu Odrodzone Królestwo, ale jednocześnie to powieść odrębna. Kto nie czytał Korony śniegu i krwi, niech się nie lęka. Przygodę z Królestwem wychodzącym z klątwy Wielkiego Rozbicia można zacząć od dowolnego momentu. Niewidzialna jest samodzielną opowieścią.;2014;true;22;13;5;1;
238;13-3221-878-1;009-13-3221-878-1;Odrodzone Królestwo - Płomienna korona;2021-02-28;Można opowiedzieć historię Władysława Łokietka i odradzania się Królestwa tylko z jednego punktu widzenia, ale to przesłania nam całą złożoność procesu zjednoczeniowego;2017;true;22;13;5;1;
